node1,node2,weight
ADAL,ADAR,1
ADAL,ADFL,1
ADAL,AIBL,1
ADAL,AIBR,2
ADAL,ASHL,1
ADAL,AVAR,2
ADAL,AVBL,4
ADAL,AVBR,7
ADAL,AVDL,1
ADAL,AVDR,2
ADAL,AVEL,1
ADAL,AVJR,5
ADAL,FLPR,1
ADAL,PVQL,1
ADAL,RICL,1
ADAL,RICR,1
ADAL,RIML,3
ADAL,RIPL,1
ADAL,SMDVR,2
ADAR,ADAL,1
ADAR,ADFR,1
ADAR,AIBL,1
ADAR,AIBR,1
ADAR,ASHR,1
ADAR,AVAL,1
ADAR,AVBL,1
ADAR,AVBR,5
ADAR,AVDL,2
ADAR,AVEL,1
ADAR,AVJL,3
ADAR,PVQR,1
ADAR,RICL,1
ADAR,RIMR,5
ADAR,RIPR,1
ADAR,RIVR,1
ADAR,SMDVL,2
ADEL,ADAL,1
ADEL,ADER,1
ADEL,AINL,1
ADEL,AVAL,2
ADEL,AVAR,3
ADEL,AVEL,1
ADEL,AVKR,1
ADEL,AVL,1
ADEL,BDUL,1
ADEL,CEPDL,1
ADEL,FLPL,1
ADEL,IL1L,1
ADEL,IL2L,1
ADEL,MDL05,1
ADEL,OLLL,1
ADEL,RIAL,1
ADEL,RIFL,1
ADEL,RIGL,5
ADEL,RIGR,3
ADEL,RIH,2
ADEL,RIVL,1
ADEL,RIVR,1
ADEL,RMDL,2
ADEL,RMGL,1
ADEL,RMHL,1
ADEL,SIADR,1
ADEL,SIBDR,1
ADEL,SMBDR,1
ADEL,URBL,1
ADER,ADAR,1
ADER,ADEL,2
ADER,ALA,1
ADER,AVAL,5
ADER,AVAR,1
ADER,AVDR,2
ADER,AVER,1
ADER,AVJR,1
ADER,AVKL,1
ADER,AVKL,1
ADER,AVKR,1
ADER,CEPDR,1
ADER,FLPL,1
ADER,FLPR,1
ADER,OLLR,2
ADER,PVR,1
ADER,RIGL,7
ADER,RIGR,4
ADER,RIH,1
ADER,RMDR,2
ADER,SAAVR,1
ADFL,ADAL,1
ADFL,ADAL,1
ADFL,AIZL,12
ADFL,AUAL,5
ADFL,OLQVL,1
ADFL,RIAL,15
ADFL,RIGL,1
ADFL,RIR,2
ADFL,SMBVL,2
ADFR,ADAR,1
ADFR,ADAR,1
ADFR,AIAR,1
ADFR,AIYR,1
ADFR,AIZR,8
ADFR,ASHR,1
ADFR,AUAR,4
ADFR,AWBR,1
ADFR,PVPR,1
ADFR,RIAR,16
ADFR,RIGR,3
ADFR,RIR,3
ADFR,SMBDR,1
ADFR,SMBVR,2
ADFR,URXR,1
ADLL,ADLR,1
ADLL,AIAL,6
ADLL,AIBL,7
ADLL,AIBR,1
ADLL,ALA,2
ADLL,ASER,3
ADLL,ASHL,2
ADLL,AVAL,2
ADLL,AVAR,3
ADLL,AVBL,2
ADLL,AVDL,1
ADLL,AVDR,4
ADLL,AVDR,1
ADLL,AVJL,1
ADLL,AVJR,3
ADLL,AWBL,2
ADLL,OLQVL,1
ADLL,OLQVL,1
ADLL,RIPL,1
ADLL,RMGL,1
ADLR,ADLL,1
ADLR,AIAR,10
ADLR,AIBR,10
ADLR,ASER,1
ADLR,ASHR,3
ADLR,AVAR,2
ADLR,AVBL,1
ADLR,AVBR,2
ADLR,AVDL,5
ADLR,AVDR,2
ADLR,AVJR,1
ADLR,AWCR,3
ADLR,OLLR,1
ADLR,PVCL,1
ADLR,RICL,1
ADLR,RICR,1
AFDL,AFDR,1
AFDL,AIBL,1
AFDL,AINR,1
AFDL,AIYL,7
AFDR,AFDL,1
AFDR,AIBR,1
AFDR,AIYR,13
AFDR,ASER,1
AIAL,ADAL,1
AIAL,AIAR,1
AIAL,AIBL,10
AIAL,AIML,2
AIAL,AIZL,1
AIAL,ASER,3
AIAL,ASGL,1
AIAL,ASHL,1
AIAL,ASIL,2
AIAL,ASKL,3
AIAL,AWAL,1
AIAL,AWCR,1
AIAL,HSNL,1
AIAL,RIFL,1
AIAL,RMGL,1
AIAR,ADAR,1
AIAR,ADFR,1
AIAR,ADLR,2
AIAR,AIAL,1
AIAR,AIBR,14
AIAR,AIZR,1
AIAR,ASER,1
AIAR,ASGR,1
AIAR,ASIR,2
AIAR,AWAR,1
AIAR,AWAR,1
AIAR,AWCL,1
AIAR,AWCR,3
AIAR,RIFR,2
AIBL,AFDL,1
AIBL,AIYL,1
AIBL,ASER,1
AIBL,AVAL,2
AIBL,AVBL,5
AIBL,DVC,1
AIBL,FLPL,1
AIBL,PVT,1
AIBL,RIBR,4
AIBL,RIFL,1
AIBL,RIGR,1
AIBL,RIGR,3
AIBL,RIML,2
AIBL,RIMR,13
AIBL,RIMR,1
AIBL,RIVL,1
AIBL,SAADL,2
AIBL,SAADR,2
AIBL,SMDDR,4
AIBR,AFDR,1
AIBR,AVAR,1
AIBR,AVBR,3
AIBR,AVEL,1
AIBR,DB1,1
AIBR,DVC,2
AIBR,PVT,1
AIBR,RIAL,1
AIBR,RIBL,4
AIBR,RIGL,3
AIBR,RIML,16
AIBR,RIML,1
AIBR,RIMR,1
AIBR,RIS,1
AIBR,RIVR,1
AIBR,SAADL,1
AIBR,SMDDL,3
AIBR,SMDVL,1
AIBR,VB1,3
AIML,AIAL,5
AIML,ALML,1
AIML,ASGL,2
AIML,ASKL,2
AIML,AVBR,2
AIML,AVDL,1
AIML,AVDR,1
AIML,AVER,1
AIML,AVFL,4
AIML,AVFR,1
AIML,AVHL,2
AIML,AVHR,1
AIML,AVJL,1
AIML,PVQL,1
AIML,RIFL,1
AIML,SIBDR,1
AIML,SMBVL,1
AIMR,AIAR,5
AIMR,ASGR,2
AIMR,ASJR,2
AIMR,ASKR,3
AIMR,AVDR,1
AIMR,AVFL,1
AIMR,AVFR,1
AIMR,HSNL,1
AIMR,HSNR,2
AIMR,OLQDR,1
AIMR,PVNR,1
AIMR,RIFR,1
AIMR,RMGR,1
AINL,ADEL,1
AINL,AFDR,5
AINL,AINR,2
AINL,ASEL,3
AINL,ASGR,1
AINL,ASGR,1
AINL,AUAR,1
AINL,AUAR,1
AINL,BAGL,3
AINL,RIBL,1
AINL,RIBR,2
AINR,AFDL,4
AINR,AFDR,1
AINR,AIAL,2
AINR,AIBL,2
AINR,AINL,2
AINR,ASEL,1
AINR,ASER,1
AINR,ASGL,1
AINR,AUAL,1
AINR,AUAR,1
AINR,BAGR,3
AINR,RIBL,2
AINR,RID,1
AIYL,AIYR,1
AIYL,AIZL,13
AIYL,AWAL,3
AIYL,AWCL,1
AIYL,AWCR,1
AIYL,HSNR,1
AIYL,RIAL,7
AIYL,RIBL,4
AIYL,RIML,1
AIYR,ADFR,1
AIYR,AIYL,1
AIYR,AIZR,8
AIYR,AWAR,1
AIYR,HSNL,1
AIYR,RIAR,6
AIYR,RIBR,2
AIYR,RIMR,1
AIZL,AIAL,3
AIZL,AIBL,2
AIZL,AIBR,8
AIZL,AIZR,2
AIZL,ASEL,1
AIZL,ASGL,1
AIZL,ASHL,1
AIZL,AVER,5
AIZL,DVA,1
AIZL,RIAL,8
AIZL,RIGL,1
AIZL,RIML,4
AIZL,SMBDL,9
AIZL,SMBVL,7
AIZL,VB2,1
AIZR,AIAR,1
AIZR,AIBL,8
AIZR,AIBR,1
AIZR,AIZL,2
AIZR,ASGR,1
AIZR,ASHR,1
AIZR,AVEL,4
AIZR,AVER,1
AIZR,AWAR,1
AIZR,DVA,1
AIZR,RIAR,7
AIZR,RIMR,4
AIZR,SMBDR,5
AIZR,SMBVR,3
AIZR,SMDDR,1
ALA,ADEL,1
ALA,AVAL,1
ALA,AVEL,2
ALA,AVER,1
ALA,RID,1
ALA,RMDR,1
ALML,AVDR,1
ALML,AVEL,1
ALML,AVM,1
ALML,BDUL,6
ALML,CEPDL,3
ALML,CEPVL,2
ALML,PVCL,2
ALML,PVCR,1
ALML,PVR,1
ALML,RMDDR,1
ALML,RMGL,1
ALML,SDQL,1
ALMR,AVM,1
ALMR,BDUR,5
ALMR,CEPDR,1
ALMR,CEPVR,1
ALMR,PVCR,3
ALMR,RMDDL,1
ALMR,SIADL,1
ALNL,SAAVL,3
ALNL,SMBDR,2
ALNL,SMBDR,1
ALNL,SMDVL,1
ALNR,ADER,1
ALNR,RMHR,1
